User Code,1 Please select your operating administration or office:,2 Begin typing your work zip code and select your work site from the list that will appear below.  If your site does not appear in the list select 'Site not found'.  If you telework 100% of the time please select the site to which you officially report.,3 What is your employment status?,4 How did you travel TO WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,5 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),6 Did you use the same method(s) of transportation indicated above to commute FROM WORK at the end of your workdays? (If you answer 'Yes' you will skip the next section.  This may conclude your survey.),7 How did you travel FROM WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,8 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),9 [HIDDEN] Thinking about last year what would you say is your PRIMARY commuting method?,If 'other' selected please indicate commuting method:,10 How often did you typically spend a full workday teleworking?,11 Overall how satisfied are you with the following?,Your commute to work,Your commute to home,Your agency's telework program,Your agency's alternative work schedule (AWS) program,12 What is the estimated distance between your home and the nearest public transit station or bus stop?,13 Is there any information you would like to add about your commute that was not addressed in this survey?,14 Were the survey questions clear?,15 Did you experience any technical problems while taking this survey?,Survey site was slow to load some/all questions,I was unable to connect to the survey on my first try,My survey link did not work,I had another technical problem not addressed here,I did not have any technical problems,16 How was your overall experience with this survey?,CO2e Emissions (CO2e MT) / year
0JYMOE3Z,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),25,,,Carpool/Vanpool,2,Transit rail (e.g. subway),25,,,Transit bus,2,Transit rail (e.g. subway),25,,,Carpool/Vanpool,2,Transit rail (e.g. subway),25,,,Transit bus,2,Transit rail (e.g. subway),25,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Somewhat dissatisfied,very dissatisfied,Very satisfied,N/A,Less than 0.25 mile,"My commute is usually 75-90 minutes door-to-door. 
Evening bus service from Wiehle Metro Station to my neighborhood is very infrequent and unreliable. I tend to work late and usually arrive at Wiehle Metro between 7:30-8:00 p.m. The RIBS 3 bus is 30 minutes apart between 7;28-8:28 p.m., which is bad enough in the winter, but after 8:28 p.m. it's ONE HOUR apart!",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.010673579
0LN62DR1,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,1,Transit rail (e.g. subway),4,,,Carpool/Vanpool,1,Transit rail (e.g. subway),4,,,Carpool/Vanpool,1,Transit rail (e.g. subway),4,,,Carpool/Vanpool,1,Transit rail (e.g. subway),4,,,Carpool/Vanpool,1,Transit rail (e.g. subway),4,,,,14+,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.36266285
0LP46DXH,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),23,,,,,Transit rail (e.g. subway),23,,,,,Transit rail (e.g. subway),23,,,,,Transit rail (e.g. subway),23,,,,,Transit rail (e.g. subway),23,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,1.5 miles to 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.73198832
0O6WPS3Y,U.S. Agency for International Development ,"USAID7 - SA-44 Federal Center Plaza II - 400 C Street SW, , Washington, DC 20024",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),,,,Transit bus,2,Transit rail (e.g. subway),,,,Transit bus,2,Transit rail (e.g. subway),,,,Transit bus,2,Transit rail (e.g. subway),,,,Transit bus,2,Transit rail (e.g. subway),,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once a week,,Very satisfied,Somewhat satisfied,N/A,Very satisfied,Less than 0.25 mile,I would like to know if the governments providing free parking lot?,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.098594192
0OF2Y2BE,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,3,Transit rail (e.g. subway),15,,,Transit bus,3,Transit rail (e.g. subway),15,,,Transit bus,3,Transit rail (e.g. subway),15,,,Transit bus,3,Transit rail (e.g. subway),15,,,Transit bus,3,Transit rail (e.g. subway),15,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,I did not telework because I chose not to telework,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Less than 0.25 mile,"Very often the metro (red line, DC) is interrupted or over-taxed.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.277448888
0PWZFDKU,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Commuter rail (e.g. regional),78,,,,,Commuter rail (e.g. regional),78,,,,,N/A: Teleworked,N/A,,,,,Commuter rail (e.g. regional),78,,,,,Commuter rail (e.g. regional),78,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commuter rail (e.g. regional),,Once a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,More than 2 miles,The cost to commute from Fredericksburg Va to Washington DC is very expensive.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,4.947191808
0Q7ZTWO5,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Carpool/Vanpool,16,,,,,Carpool/Vanpool,16,,,,,Carpool/Vanpool,16,,,,,Carpool/Vanpool,16,,,,,Other,N/A,,,,,part-time employee 32 hour work week,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once or twice a month,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,1 mile to 1.5 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",1.102737024
0RML1UM8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),2,Transit rail (e.g. subway),20,,,Car (drove alone),2,Transit rail (e.g. subway),20,,,Car (drove alone),2,Transit rail (e.g. subway),20,,,Car (drove alone),2,Transit rail (e.g. subway),20,,,Car (drove alone),2,Transit rail (e.g. subway),20,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once or twice a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Less than 0.25 mile,"Local RIBS bus schedule is not convenient for my morning commute. So, I drive to Metro.  It will be nice if the RIBS buses start running at 5 am.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.85068212
0SXGVJVR,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,1,Transit rail (e.g. subway),5,,,Transit bus,1,Transit bus,5,,,Transit bus,1,Transit bus,5,,,Other,N/A,,N/A,,,Transit bus,1,Transit rail (e.g. subway),5,,,Leave,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Less than once a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.288639549
0TJ8SFPN,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,"I did not telework because I must be physically present on the job (e.g., Law Enforcement)",,Very satisfied,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Don't know or not sure,I work overseas,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.8615133
0TUS4Q0N,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Walk,1,Transit bus,2,Transit rail (e.g. subway),25,Car (drove alone),3,Transit rail (e.g. subway),25,,,Walk,3,Transit rail (e.g. subway),25,,,Walk,1,Transit bus,2,Transit rail (e.g. subway),25,Walk,1,Transit bus,2,Transit rail (e.g. subway),25,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once or twice a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,0.25 to 0.5 mile,The New Silver Metro Line is great!,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.045134111
0UBXC0YE,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Transit bus,15,Transit bus,2,,,Transit bus,15,Transit bus,2,,,Transit bus,15,Transit rail (e.g. subway),2,,,Transit bus,15,Transit bus,2,,,Transit bus,15,Transit bus,2,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.84845333
0Y75X1O8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Five times a week,,N/A,N/A,Very satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0
0Z0PTXTD,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Other,N/A,,,,,Other,N/A,,,,,Other,N/A,,,,,Transit rail (e.g. subway),10,,,,,Other,N/A,,,,,Did not work - part time employee,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,Less than once a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,N/A,N/A,1.5 miles to 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.15060768
0Z5X2XWM,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),15,Other,,,,Transit rail (e.g. subway),15,,,,,Transit rail (e.g. subway),15,,,,,Transit rail (e.g. subway),15,,,,,Transit rail (e.g. subway),15,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,N/A,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.1295576
